This file contains several lists relating to film:

DEBUTS.TXT          Debuts of over 600 Stars - From 1930-Present

DIRECT.TXT          200 Directorial Debuts

LOSER.TXT           Films and Performances that LOST out on Oscar
                    night - including 10 films and 10 performances
                    NOT nominated

OSCAR.DEB           OSCAR WINNING/Nominated Debuts

SILENT.TXT          Stars who got their start in the Silents:
                    1900-1929 Debuts

UNUSUAL.TXT         Early Roles/Unusual Roles for Stars

     I believe that each of these lists is accurate, as far as I
could confirm. I have double checked the source for most of the
actors on each list.

     I am sure that anyone reading this will say "How could you
have missed [Actor/Actress]?". While I believe 650 is a good start,
I'm still working on making the list more complete, and will
probably be releasing a supplementary/updated list sometime in the
near future.

     If you think of someone whose debuts I should absolutely,
positively have on the next list, leave me a message.

JOHN HECKENLIVELY

                           FILM DEBUTS
                        Actors/Actresses

ACTOR                    TITLE                              YEAR
Bedelia, Bonnie          The Gypsy Moths                    1969
Bellamy, Ralph           The Secret Six                     1931
Belushi, John            Goin' South                        1978
Bendix, William          Woman of the Year                  1941
Benjamin, Richard        Thunder Over The Plains            1953
Benson, Robby            Jory                               1972
Berenger, Tom            Beyond The Door                    1975
Bergen, Candice          The Group                          1966
Bergman, Ingrid (US)     Intermezzo                         1939
Bernhard, Sandra         Cheech/Chong Nice Dreams           1981
Bernsen, Corbin          King Kong                          1976
Beymer, Richard          Indiscretion of an American...     1953
Bisset, Jacqueline       The Knack                          1965
Black, Karen             You're a Big Boy Now               1966
Blake, Robert            Andy Hardy's Double Life           1940
Blondell, Joan           The Office Wife                    1930
Bogarde, Dirk            Dancing With Crime                 1947
BOGART, Humphrey         Broadway's Like That               1930
BOND Picture             Dr No                              1962
BOND - Roger Moore       Live and Let Die                   1973
BOND - Tim Dalton        The Living Daylights               1987
Bondi, Beulah            Street Scene                       1931
Boone, Pat               Bernadine                          1957
Borgnine, Ernest         Whistle at Eaton Falls             1951
Bottoms, Joseph          The Dove                           1974
Bottoms, Timothy         Johnny Got His Gun                 1971
Boxleitner, Bruce        The Baltimore Bullet               1980
Boyle, Peter             Joe                                1970
Bracken, Eddie           Too Many Girls                     1940
Branagh, Kenneth         High Season                        1988
Brandauer, Klaus M       The Salzburg Connection            1972
Brando, Marlon           The Men                            1950
Brennan, Walter          The Ridin' Rowdy                   1927
Bridges, Beau            The Incident [Feature]             1967
Bridges, Jeff            Halls of Anger                     1970
Bridges, Jordan          Thanksgiving Promise               1986
Broderick, Matthew       Max Dugan Returns                  1983
Bronson, Charles         You're In The Navy Now             1951
Brooks, Geraldine        Possessed                          1947
Brooks, Mel              The Critic                         1964
Brynner, Yul             Port of New York                   1949
Buckley, Betty           Carrie                             1976
Bujold, Genevieve        Amantia Pestilens                  1963
Burnett, Carol           Who's Been Sleeping...             1963
Burns, George            The Big Broadcast                  1932
Burr, Raymond            San Quentin                        1946
Burstyn, Ellen           For Those Who Think Young          1964
Burton, Richard          The Last Days of Dolwyn            1949
Busey, Gary              Angels Hard as They Come           1971
Buttons, Red             Winged Victory                     1944
Byington, Spring         Little Women                       1933
Caan, James              Irma La Douce                      1963
Cagney, James            Sinner's Holiday                   1930
Cagney, James            Doorway to Hell [2nd]              1930
Caine, Michael           Hell in Korea                      1950
Calhern, Louis           Stolen Heaven [Talking]            1931
Cannon, Dyan             Rise and Fall of Legs Diamond      1960
Capshaw, Kate            A Little Sex                       1982
Carerra, Barbara         The Master Gunfighter              1976
Carney, Art              Pot O'Gold                         1941
Caron, Leslie            An American In Paris               1951
Carroll, Diahann         Carmen Jones                       1954
Carson, Johnny           Looking For Love [Only Film]       1964
Cash, Johnny             A Gunfight                         1971
Cassavettes, John        Taxi                               1953
Cates, Phoebe            Paradise                           1982
Cattrall, Kim            Rosebud                            1975
Chandler, Jeff           Johnny O'Clock                     1947
Channing, Carol          Paid in Full                       1950
Channing, Stockard       The Hospital                       1971
Charisse, Cyd            Something to Shout About           1943
Chase, Chevy             The Groove Tube                    1974
Cheech and Chong         Up In Smoke                        1978
Cher                     Chastity                           1969
Chevalier, M [US]        Innocents of Paris                 1928
Christie, Julie          Crooks Anonymous                   1962
Christopher, Dennis      The Young Graduates                1971
Cilento, Diane           Wings of Danger                    1952
Clark, Candy             Fat City                           1972
Clayburgh, Jill          The Wedding Party                  1969
Clift, Montgomery        The Search                         1948
Cobb, Lee J              North of the Rio Grande            1937
Coburn, Charles          Boss Tweed                         1933
Coburn, James            Ride Lonesome                      1959
Colbert, Claudette       For The Love of Mike               1927
Coleman, Gary            On the Right Track                 1981
Collins, Joan            Lady Godiva Rides Again            1951
Conaway, Jeff            Jennifer On My Mind                1971
Connery, Sean            No Road Back                       1957
Conti, Tom               Galileo                            1975
Cooper, Gary             Tricks [1st Credit]                1926
Cooper, Jackie           Sunny Side Up                      1929
Cort, Bud                M*A*S*H                            1970
Cortese, Valentina       Orrizzonte dipinto                 1940
Costner, Kevin           Sizzle Beach USA [86]              1974
Cox, Ronny               Deliverance                        1972
Crain, Jeanne            The Gang's All Here                1943
Crawford, Broderick      Woman Chases Man                   1937
Crawford, Joan           The Circle                         1925
Cronyn, Hume             Shadow Of A Doubt                  1943
Crosby, Bing             King of Jazz                       1930
Cruise, Tom              Endless Love                       1981
Cryer, Jon               No Small Affair                    1984
Crystal, Billy           Rabbit Test                        1978
Curtis, Tony             Criss Cross                        1949
D'Angelo, Beverly        The Sentinel                       1977
Dafoe, Willem            The Loveless                       1983
Dailey, Dan              The Captain is a Lady              1940
Dandridge, Dorothy       A Day at the Races                 1937
Dangerfield, Rodney      The Projectionist                  1971
Danson, Ted              The Onion Field                    1979
Davis, Bette             Bad Sister                         1931
Davis, Judy              My Brilliant Career                1979
Day, Doris               Romance on the High Seas           1948
Dean, James              Fixed Bayonets                     1951
Dee, Sandra              Until They Sail                    1947
DeHavilland, Olivia      Midsummer Night's Dream            1935
Deneuve, Catherine       Les Collegiens                     1956
Deneuve, Catherine       Repulsion [English]                1964
DeNiro, Robert           The Wedding Party [1964]           1969
Dennis, Sandy            Splendor in the Grass              1961
Depardieu, Gerard        Le Beatnik et le minet             1965
Derek, Bo                Orca                               1977
Derek, John              Since You Went Away                1944
Dern, Bruce              Wild River                         1960
Dern, Laura              Foxes                              1980
DeSica, Vittorio         What Rascals Men Are               1932
DeVito, Danny            Lady Liberty                       1972
DeWilde, Brandon         A Member of the Wedding            1952
Dey, Susan               Skyjacked                          1972
Dickinson, Angie         Lucky Me                           1954
Dietrich, Marlene        So Sind die Manner                 1922
Dietrich, Marlene        The Blue Angel [Talking]           1930
Diller, Phyllis          Splendor in the Grass              1961
Dillon, Matt             Over The Edge                      1979
Dillon, Melinda          The April Fools                    1969
Donat, Robert            Men of Tommorow                    1933
Douglas, Kirk            Strange Love of Martha Ivers       1946
Douglas, Melvyn          Tonight or Never                   1931
Douglas, Michael         Hail, Hero!                        1969
Dreyfuss, Richard        The Graduate                       1967
Duke, Patty              The Goddess                        1958
Dunaway, Faye            The Happening                      1966
Dunne, Irene             Leathernecking                     1930
Durbin, Deanna           Three Smart Girls                  1936
Duryea, Dan              Little Foxes                       1941
Duvall, Robert           To Kill a Mockingbird              1962
Duvall, Shelley          Brewster McCloud                   1970
Eastwood, Clint          Revenge of the Creature            1955
Edwards, Anthony         Fast Times at Ridgemont High       1982
Eikenberry, Jill         Between The Lines                  1977
Elliott, Denholm         Dear Mr Proback                    1948
Falk, Peter              Wind Across the Everglades         1958
Farr, Jamie              The Blackboard Jungle              1955
Farrow, Mia              Guns at Batasi                     1964
Fay, Alice               George White's Scandals            1934
Feldman, Corey           Time After Time                    1979
Feldman, Marty           The Bed-Sitting Room               1969
Feldon, Barbara          Fitzwilly                          1967
Ferrer, Mel              Lost Boundaries                    1949
Field, Sally             The Way West                       1967
Finch, Peter             Dad and Dave Come to Town          1938
Finney, Albert           The Entertainer                    1960
Fisher, Carrie           Shampoo                            1975
Fitzgerald, Barry        Juno and the Paycock               1929
Fletcher, Louise         Thieves Like Us                    1974
Flynn, Errol             In the Wake of the Bounty          1933
Fonda, Bridget           Aria                               1988
Fonda, Henry             Farmer Takes a Wife                1935
Fonda, Jane              Tall Story                         1960
Fonda, Peter             Tammy and The Doctor               1963
Fontaine, Joan           No More Ladies                     1935
Ford, Glenn              Heaven with a Barbed Wire...       1939
Ford, Harrison           Dead Heat on a Merry-Go-...        1966
Forrest, Frederic        When the Legends Die               1972
Forsythe, John           Destination Tokyo                  1943
Foster, Jodie            Menace of the Mountains            1970
Fox, Michael J           Midnight Madness                   1980
Francis, Connie          Where The Boys Are                 1960
Frewer, Matt             Lords of Discipline                1983
Gable, Clark             Forbidden Paradise                 1924
Gable, Clark             Painted Desert [Talking]           1931
Garbo, Greta             A Fortune Hunter                   1921
Garbo, Greta             Anna Christie [Talking]            1930
Garcia, Andy             Blue Skies Again                   1983
Gardenia, Vincent        Murder Inc                         1960
Gardner, Ava             We Were Dancing                    1942
Garfunkel, Art           Catch 22                           1969
Gargan, William          The Misleading Lady                1932
Garland and Rooney       Thoroughbreds Don't Cry            1937
Garner, James            Toward The Unknown                 1956
Garr, Teri               Head                               1968
Gaynor, Janet            The Flood                          1926
Gazzara, Ben             The Strange One                    1957
George, Chief Dan        Smith!                             1969
Gere, Richard            Report to the Commissioner         1975
Gertz, Jami              Endless Love                       1981
Gianinni, Giancarlo      Fango sulla Metropoli              1965
Gibson, Mel              Tim [AUS]                          1979
Gielgud, John            Insult [UK]                        1932
Gilford, Jack            Hey, Rookie                        1944
Gish, Lillian            One Romantic Night [Talking]       1930
Glover, Crispin          My Tutor                           1983
Goddard, Paulette        The Locked Door                    1929
Goldblum, Jeff           Deathwish                          1974
Gomez, Thomas            S Holmes and Voice of Terror       1942
Gossett, Lou             Raisin in the Sun                  1961
Gould, Elliott           Quick, Let's Get Married           1964
Grahame, Gloria          Blonde Fever                       1944
Grant, Cary              This is The Night [Feature]        1932
Graves, Peter            Rogue River                        1950
Greene, Lorne            The Silver Chalice                 1954
Griffith, Andy           A Face in the Crowd                1957
Griffith, Hugh           Neutral Port                       1939
Griffith, Melanie        The Garden [Israeli]               1975
Griffith, Melanie        Night Moves [USA]                  1975
Grodin, Charles          Rosemary's Baby                    1968
Guinness, Alec           Evensong                           1934
Guttenberg, Steve        The Chicken Chronicles             1977
Gwenn, Edmund            The Bishop Misbehaves [US]         1935
Gwynne, Fred             On The Waterfront                  1954
Hack, Shelley            If Ever I See You Again            1978
Hackman, Gene            Mad Dog Coll                       1961
Hamill, Mark             Star Wars                          1977
Hamlin, Harry            Movie Movie                        1978
Hanks, Tom               He Knows You're Alone              1981
Hannah, Daryl            The Fury                           1978
Hannah, Page             My Man Adam                        1985
Harper, Tess             Tender Mercies                     1983
Harrison, Rex            School for Scandal                 1930
Hartley, Marietta        Ride the High Country              1962
Harvey, Laurence         House of Darkness                  1948
Hawn, Goldie             One and Only Genuine Original..    1968
HAYES, Helen             Arrowsmith                         1931
Hayward, Susan           Hollywood Hotel                    1937
Hayworth, Rita           La Fiesta [Child]                  1926
Hayworth, Rita           Dante's Inferno                    1935
Heckart, Eileen          Miracle In The Rain                1956
Hedren, Tippi            The Birds                          1963
Heflin, Van              A Woman Rebels                     1936
Hemingway, Mariel        Lipstick                           1976
Henie, Sonja             One in A Million                   1936
Hepburn, Audrey          One Wild Oat                       1951
Hepburn, Katherine       A Bill of Divorcement              1932
Hershey, Barbara         With Six You Get Eggroll           1968
Heston, Charlton         Dark City                          1950
Hiller, Wendy            Lancashire Luck                    1937
Hines, Gregory           History of the World Part I        1981
Hingle, Pat              On The Waterfront                  1954
Hoffman, Dustin          The Tiger Makes Out                1967
Hogan, Paul              "Crocodile" Dundee                 1986
Holbrook, Hal            The Group                          1966
Holden, William          Prison Farm                        1938
Holliday, Judy           Too Much Johnson                   1938
Holm, Celeste            Three Little Girls in Blue         1946
Homolka, Oscar           Rhodes [UK]                        1936
Hopper, Dennis           Rebel Without A Cause              1955
Houseman, John           Seven Days in May                  1964
Howard, Ron              The Journey                        1959
Howard, Trevor           The Way Ahead                      1944
Howell, C Thomas         ET: The Extraterrestrial           1982
Hudson, Rock             Fighter Squadron                   1948
Hulce, Tom               September 30, 1955                 1978
Hunter, Holly            The Burning                        1981
Hunter, Kim              The Seventh Victim                 1943
Huppert, Isabelle        Faustine et le bel ete             1971
Hurt, John               The Wild and The Willing           1962
Hurt, William            Altered States                     1980
Huston, Anjelica         Walk with Love and Death           1969
Huston, John             The Shakedown [Bit]                1929
Huston, Walter           Gentlemen of The Press             1929
Hutton, Jim              Time To Love/Time To Die           1958
Hutton, Lauren           Paper Lion                         1968
Ireland, John            A Walk in the Sun                  1945
Irving, Amy              Carrie                             1976
Jackson, Anne            So Young So Bad                    1950
Jackson, Glenda          Marat/Sade                         1966
Jaeckel, Richard         Guadalcanal Diary                  1943
Jafee, Sam               We Live Again                      1934
Jillian, Anne            Gypsy                              1962
Johnson, Ben             Mighty Joe Young                   1949
Johnson, Celia           Dirty Work                         1934
Johnson, Don             Magic Garden of Stanley...         1970
Johnson, Van             Too Many Girls                     1940
Jones, Carolyn           Road To Bali                       1952
Jones, James Earl        Dr Strangelove                     1964
Jones, Jennifer          The New Frontier                   1939
Jones, L.Q.              Battle Cry                         1955
Jones, Shirley           Oklahoma!                          1955
Jones, Tommy Lee         Love Story                         1970
Kahn, Madeline           What's Up Doc                      1972
Kane, Carol              Carnal Knowledge                   1971
Kaye, Danny              Up in Arms                         1944
Keach, Stacy             The Heart is A Lonely Hunter       1968
Keaton, Diane            Lovers and Other Strangers         1970
Kellerman, Sally         Reform School Girl                 1957
Kelly, Gene              For Me and My Gal                  1942
Kelly, Grace             Fourteen Hours                     1951
Kennedy, Arthur          City for Conquest                  1940
Kennedy, George          Little Shepherd of Kingdom..       1960
Kerr, Deborah            Major Barbara                      1941
Kerr, Deborah (US)       The Hucksters                      1947
Kerr, John               The Cobweb                         1955
Kidder, Margot           Gaily, Gaily                       1969
Kilmer, Val              Top Secret                         1984
Kingsley, Ben            Fear is the Key                    1972
Kinski, Klaus            Morituri                           1948
Kinski, Nastassia        To the Devil-A Daughter            1976
Kline, Kevin             Sophie's Choice                    1982
Klugman, Jack            Timetable                          1956
Knight, Shirley          Five Gates To Hell                 1959
Kristofferson, Kris      The Last Movie                     1971
Ladd, Diane              Wild Angels                        1966
Lahti, Christine         And Justice For All...             1979
Lancaster, Burt          The Killers                        1946
Lanchester, Elsa         One of The Best                    1927
Lane, Diane              A Little Romance                   1979
Lange, Hope              Bus Stop                           1956
Lange, Jessica           King Kong                          1976
Lasser, Louise           What's New Pussycat?               1965
Laughton, Charles        Piccadilly                         1929
Laurel and Hardy         45 Minutes From Hollywood          1926
Laurie, Piper            Louisa                             1950
Leachman, Cloris         Kiss Me Deadly                     1955
Lee, Christopher         Corridor of Mirrors                1948
Leigh, Janet             Romance of Rosy Ridge              1947
Leigh, Jennifer          Wrong Is Right                     1982
Leigh, Vivien            Things Are Looking Up              1934
Lemmon, Jack             It Should Happen to You            1954
Lloyd, Christopher       One Flew Over The Cuckoos..        1975
Lollobrigida, Gina       Aguila Nera                        1946
Lombard, Carole          A Perfect Crime                    1921
Loren, Sophia [US]       Boy On a Dolphin                   1957
Lowe, Rob                The Outsiders                      1983
Loy, Myrna               Pretty Ladies                      1925
Lukas, Paul [US]         Two Lovers                         1928
Lynley, Carol            Light in the Forest                1958
Lyon, Sue                Lolita                             1962
MacArthur, James         The Young Stranger                 1957
Macchio, Ralph           Up The Academy                     1980
MacDonald, Jeanette      The Love Parade                    1929
MacGraw, Ali             A Lovely Way to Die                1968
MacLachlan, Kyle         Dune                               1984
MacLaine, Shirley        The Trouble With Harry             1955
MacMurray, Fred          Girls Gone Wild [Extra]            1929
MacMurray, Fred          Grand Old Girl [Major]             1935
Madison, Guy             Since You Went Away                1944
Madonna                  Desperately Seeking Susan          1985
Madsen, Virginia         Class                              1983
Magnani, Anna            La Cieca di Sorrento               1934
Makepeace, Chris         Meatballs                          1979
Malden, Karl             They Knew What They Wanted         1940
Malone, Dorothy          The Falcon and The Coeds           1943
Manoff, Dinah            Grease                             1978
March, Frederic          The Dummy                          1928
Martin and Lewis         My Friend Irma                     1949
----------------         [Team and individual debuts]       1949
Martin, Steve            Sgt. Peppers Lonely Hearts..       1978
Marvin, Lee              You're in the Navy Now             1951
Marx Brothers            Cocoanuts                          1929
Mason, James             Lane Extra                         1935
Mason, Marsha            Blume In Love                      1973
Massey, Raymond          The Speckled Band                  1931
Mastrantonio, Mary       Scarface                           1983
Mastroianni, Marc..      Marionette [Short]                 1938
Mastroianni, Marc..      I Miserabli [Feature]              1947
Matthau, Walter          The Kentuckian                     1955
Mature, Victor           The Housekeeper's Daughter         1939
Mayron, Melanie          Harry and Tonto                    1974
McCarthy, Andrew         Class                              1983
McCarthy, Kevin          Death of a Salesman                1951
McDaniel, Hattie         The Golden West                    1932
McDowall, Roddy          Murder in the Family               1936
McDowell, Malcolm        Poor Cow                           1967
McGillis, Kelly          Reuben, Reuben                     1983
McGovern, Elizabeth      Ordinary People                    1980
McGuire, Dorothy         Claudia                            1943
McQueen, Steve           The Blob                           1958
Mercouri, Melina         Stella                             1955
Meredith, Burgess        Winterset                          1936
Meyers, Ari              Author! Author!                    1982
Midler, Bette            Hawaii                             1966
Mifune, Toshiro          These Foolish Times                1946
Milano, Alyssa           Commando                           1985
Miles, Sarah             Term of Trial                      1963
Milland, Ray             The Plaything                      1929
Mills, Donna             The Incident                       1967
Mills, Hayley            Tiger Bay                          1959
Mills, Sir John          The Midshipman                     1932
Minelli, Liza            Charlie Bubbles                    1968
Mineo, Sal               Six Bridges To Cross               1955
Mitchum, Robert          Hoppy Serves A Writ                1943
Moore, Demi              Choices                            1981
Moore, Dudley            The Hat                            1964
Moore, Mary Tyler        X-15                               1961
Moore, Roger             Perfect Strangers                  1945
Moorehead, Agnes         Citizen Kane                       1941
Moreno, Rita             So Young So Bad                    1950
Moriarity, Michael       My Old Man's Place                 1972
Mull, Martin             FM                                 1978
Muni, Paul               The Valiant                        1929
Murphy, Eddie            48 Hours                           1982
Neal, Patricia           John Loves Mary                    1949
Newman, Paul             The Silver Chalice                 1954
Nicholson, Jack          Cry Baby Killer                    1958
Niven, David             Without Regret                     1935
Nolte, Nick              Return to Macon County             1975
Norris, Chuck            The Wrecking Crew                  1968
Novak, Kim               The French Line                    1954
O'Brien, Edmund          Hunchback of Notre Dame            1939
O'Connor, Donald         Melody For Two                     1937
O'Hara, Maureen (US)     Hunchback of Notre Dame            1939
O'Neill, Jennifer        Glass Houses                       1972
O'Toole, Peter           Kidnapped                          1959
Oberon, Merle            Alf's Button                       1930
Oliver, Barret           The Never Ending Story             1984
Olivier, Laurence        Too Many Crooks                    1930
Ontkean, Michael         The Peace Killers                  1971
Osmond, Marie            A Gift of Love (TVM)               1978
Pacino, Al               Me, Natalie                        1969
Page, Geraldine          Out of the Night                   1947
Paget, Debra             Cry of the City                    1948
Palance, Jack            Panic in the Streets               1950
Parton, Dolly            Nine To Five                       1980
Paxinou, Katina          For Whom The Bell Tolls            1943
Peck, Gregory            Days of Glory                      1943
Penn, Sean               Taps                               1981
Peppard, George          The Strange One                    1957
Perkins, Anthony         The Actress                        1953
Perrine, Valerie         Slaughterhouse Five                1972
Peters, Bernadette       Ace Eli and Rodger of the ...      1973
Peterson, Amanda         Explorers                          1985
Pfieffer, Michelle       Falling in Love Again              1980
Phoenix, River           Explorers                          1985
Pidgeon, Walter          The Mannequin                      1926
Pinchot, Bronson         Risky Business                     1983
Pleasance, Donald        The Beachcomber                    1954
Pleshette, Suzanne       Geisha Boy                         1958
Plimpton, Martha         Rollover                           1981
Plummer, Amanda          Cattle Annie and Little ...        1980
Poitier, Sidney          No Way Out                         1950
Porizkova, Paulina       Anna                               1987
Powell, Dick             Blessed Event                      1932
Power, Tyrone            Tom Brown of Culver                1932
Presley, ELVIS           Love Me Tender                     1956
Preston, Robert          King of Alcatraz                   1938
Prince                   Purple Rain                        1984
Pryor, Richard           The Busy Body                      1967
Quaid, Dennis            I Never Promised You a Rose..      1977
Quaid, Randy             The Last Picture Show              1971
Quayle, Anthony          Moscow Nights                      1935
Quinn, Anthony           Parole!                            1936
Rainer, Luise            Ja, der Himmel uber Wein           1930
Rains, Claude [US]       The Invisible Man                  1933
Randall, Tony            Oh Men! Oh Women!                  1957
Rathbone, Basil          Innocent                           1921
Rathbone, Basil          The Masked Bride [US]              1925
Reagan WESTERN           Last Outpost, The                  1951
REAGAN, Ronald           Love is On The Air                 1937
Redford, Robert          War Hunt                           1962
Redgrave, Lynn           Tom Jones                          1963
Redgrave, Michael        The Lady Vanishes                  1939
Redgrave, Vanessa        Behind The Mask                    1958
Reed, Donna              Babes on Broadway                  1941
Remick, Lee              A Face in the Crowd                1957
Reynolds, Burt           Angel Baby                         1961
Reynolds, Debbie         June Bride                         1948
Richardson, Natasha      Every Picture Tells A Story        1984
Richardson, Ralph        The Ghoul                          1933
Ringwald, Molly          Tempest                            1982
Ritter, Thelma           Miracle on 34th Street             1947
Ritz Brothers            Sing, Baby, Sing                   1936
ROAD Picture             Road to Singapore                  1940
Robards, Jason           The Journey                        1959
Roberts, Eric            King of the Gypsies                1978
Roberts, Julia           Blood Red                          1986
Roberts, Rachel          Valley of Song                     1952
Robertson, Cliff         Picnic                             1955
Robinson, Edward G       The Bright Shawl                   1923
Rogers, Ginger           Young Man of Manhattan             1930
Rogers, Kenny            Six Pack                           1982
Rogers, Kenny (TV)       The Dream Makers (TVM)             1975
Rogers, Wayne            Odds Against Tommorow              1959
Rooney, Mickey           Not To Be Trusted                  1926
Rossellini, Isabella     Matter of Time                     1976
Rowlands, Gena           The High Cost of Loving            1958
Russell, Jane            The Outlaw                         1943
Russell, Rosalind        Evelyn Prentice                    1934
Russell, Theresa         The Last Tycoon                    1976
Rutherford, Margaret     Dusty Ermine                       1936
Ryan, Meg                Rich and Famous                    1981
Ryan, Robert             Golden Gloves                      1940
Sanders, George          Find The Lady                      1936
Sarandon, Susan          Joe                                1970
Scheider, Roy            Curse of the Living Corpse         1964
Schell, Maximillian      Kinder, Mutter und Ein...          1955
Schwarzenegger, A..      Hercules in New York               1970
Scofield, Paul           That Lady                          1955
Scott, George C          The Hanging Tree                   1959
Seagal, Steven           Above The Law                      1988
Seberg, Jean             Saint Joan                         1957
Segal, George            The Young Doctors                  1961
Selleck, Tom             Myra Breckenridge                  1970
Sellers, Peter           Penny Points to Paradise           1951
Sharif, Omar             Ciel d'enfer                       1953
Shaw, Robert             Hell in Korea (2nd)                1956
Sheedy, Ally             Bad Boys                           1983
Sheen, Martin            The Incident                       1967
Shepard, Sam             Renaldo and Clara                  1978
Shepperd, Cybill         The Last Picture Show              1971
Shields, Brooke          Holy Terror                        1977
Shire, Talia             The Dunwich Horror                 1970
Sidney, Sylvia           Thru Different Eyes                1929
Signoret, Simone         Le Prince Charmant                 1942
Simmons, Jean            Give Us the Moon                   1944
Sinatra, Frank           Major Bowes Amateur Theater..      1935
Singer, Lori             Footloose                          1984
Skelton, Red             Having Wonderful Time              1938
Smith, Maggie            Nowhere To Go                      1958
Smits, Jimmy             Running Scared                     1986
Soles, P.J.              Carrie                             1976
Sonny and Cher           Good Times                         1967
Sothern, Ann             Broadway Nights                    1927
Spacek, Sissy            Prime Cut                          1972
Spader, James            Endless Love                       1981
St James, Susan          Outlaw Blues                       1977
Stack, Robert            First Love                         1939
Stallone, Sylvester      Bananas                            1971
Stanwyck, Barbara        The Locked Door                    1929
Steenbergen, Mary        Goin' South                        1978
Steiger, Rod             Teresa                             1951
Stewart, James           The Murder Man                     1935
Sting                    Quadrophenia                       1979
Stockwell, Dean          Valley of Decision                 1945
Stoltz, Eric             Fast Times at Ridgemont High       1982
Straight, Beatrice       Phone Call From A Stranger         1952
Strasberg, Susan         The Cobweb                         1955
Strauss, Peter           Hail, Hero!                        1969
Streep, Meryl            Julia                              1977
Sullivan, Margaret       Only Yesterday                     1934
Sutherland, Donald       Castle of the Living Dead          1964
Swayze, Patrick          Skatetown USA                      1979
Tamblyn, Russ            The Boy with Green Hair            1949
Taylor, Liz              There's One Born Every Minute      1942
Temple, Shirley          The Red Haired Alibi               1932
Thomas, Henry            Raggedy Man                        1981
Three Stooges            Soup to Nuts                       1930
Tierney, Gene            The Return of Frank James          1940
Tilly, Meg               Fame [Bit/80]/Tex [Major]          1983
Tone, Franchot           The Wiser Sex                      1932
Topol                    Sallah                             1964
Torn, Rip                Time Limit                         1957
Tracy and Hepburn        Woman of the Year                  1942
Tracy, Spencer           Up The River                       1930
Travolta, John           The Devil's Rain                   1975
Trevor, Claire           Life in the Raw                    1933
Tucker, Forrest          The Westerner                      1940
Tucker, Michael          A Night Full of Rain               1977
Tucker, Tanya            Hard Country                       1981
Turner, Kathleen         Body Heat                          1981
Turner, Lana             A Star Is Born                     1937
Tyrell, Susan            The Steagle                        1971
